Date,AAPL,JNJ,JPM,XOM,AMZN,KO,NVDA,PG,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2018-04-03,39.559326171875,103.30878448486328,87.90019226074219,52.212646484375,69.60250091552734,34.10772705078125,5.574793338775635,63.51248550415039,1.25,-0.02,0.18,0.25,0.16,0.01,-0.15
2018-04-04,40.31580352783203,104.96685791015625,89.23480224609375,52.10824966430664,70.52850341796875,34.78391647338867,5.596811771392822,63.990081787109375,1.17,0.34,-0.32,0.07,-0.14,0.01,0.08
2018-04-05,40.59535598754883,105.20830535888672,90.40650177001953,52.90861892700195,72.5875015258789,34.90972137451172,5.476583957672119,63.78772735595703,0.75,0.05,0.46,0.11,0.26,0.01,-0.38
2018-04-06,39.55698776245117,103.10753631591797,88.1519775390625,52.10824966430664,70.2614974975586,34.53231430053711,5.300197601318359,63.48820495605469,-2.19,0.37,-0.06,0.13,0.01,0.01,-0.57
2018-04-09,39.949310302734375,104.2182846069336,89.21054077148438,52.10824966430664,70.30400085449219,34.46155548095703,5.328894138336182,63.2696418762207,0.3,-0.23,-0.51,-0.75,-0.29,0.01,0.58
2018-04-10,40.701072692871094,104.83805847167969,90.91558074951172,53.63941955566406,71.81099700927734,34.587345123291016,5.638123989105225,63.43962860107422,1.77,0.33,-0.12,-0.92,0.4,0.01,0.39
2018-04-11,40.51078796386719,104.33903503417969,89.3883285522461,53.889957427978516,71.35250091552734,34.587345123291016,5.596811771392822,63.35867691040039,-0.49,0.79,-0.3,-0.65,0.28,0.01,-0.53
2018-04-12,40.91016387939453,104.98295593261719,91.61050415039062,53.74381637573242,72.42500305175781,34.618797302246094,5.803624153137207,62.97013473510742,0.84,-0.16,0.19,-0.22,0.02,0.01,1.25
2018-04-13,41.04877853393555,105.13587951660156,89.1297607421875,54.17531967163086,71.53949737548828,34.9962043762207,5.726935386657715,63.43962860107422,-0.37,-0.11,-0.25,-0.08,0.18,0.01,-0.83
2018-04-16,41.304847717285156,106.05345153808594,89.0570297241211,54.66251754760742,72.07499694824219,35.12986373901367,5.726687431335449,63.6339225769043,0.82,0.14,-0.02,0.82,0.03,0.01,0.0
2018-04-17,41.87336349487305,105.07149505615234,89.0570297241211,54.516357421875,75.19149780273438,35.287109375,5.87635612487793,63.48820495605469,1.09,0.0,-1.18,-0.31,-0.47,0.01,1.08
2018-04-18,41.77939224243164,102.80168151855469,88.33784484863281,55.13579559326172,76.39199829101562,34.9962043762207,5.847412109375,63.302032470703125,0.13,0.21,0.02,-0.28,0.42,0.01,0.05
2018-04-19,40.59535598754883,102.66482543945312,90.27721405029297,55.27498245239258,77.84549713134766,34.838958740234375,5.666077613830566,61.23261642456055,-0.49,-0.3,1.08,-0.48,0.1,0.01,0.62
2018-04-20,38.93208312988281,101.94847869873047,90.07518768310547,54.982669830322266,76.37449645996094,34.39079666137695,5.657914161682129,60.2931022644043,-0.81,0.11,0.58,-0.55,0.3,0.01,0.04
2018-04-23,38.81930923461914,102.08531951904297,89.63882446289062,55.379398345947266,75.89299774169922,34.57948684692383,5.53842830657959,59.63949966430664,-0.05,-0.06,0.19,0.3,0.07,0.01,-0.29
2018-04-24,38.27898025512695,101.57019805908203,89.2186279296875,54.5302734375,73.00450134277344,33.8640022277832,5.472130298614502,59.23103713989258,-1.3,0.64,1.02,0.04,0.2,0.01,-1.03
2018-04-25,38.445777893066406,102.02897644042969,88.87924194335938,55.330657958984375,73.00849914550781,33.360801696777344,5.359818935394287,59.0676383972168,0.11,-0.28,0.06,0.41,0.21,0.01,-0.54
